learning_rate,beta_1,beta_2,epsilon,accuracy
0.0003,0.79,0.61,2e-07,0.9358974099159241
0.0001,0.7,0.64,8e-07,0.9358974099159241
0.0006,0.84,0.79,3e-07,0.9081196784973145
0.0005,0.89,0.8,8e-07,0.8995726704597473
0.0007,0.83,0.88,1e-07,0.9294871687889099
0.0007,0.84,0.73,5e-07,0.9273504018783569
0.0005,0.71,0.91,7e-07,0.9209401607513428
0.0007,0.9,0.87,1e-07,0.9230769276618958
0.0004,0.53,0.94,3e-07,0.9081196784973145
0.0002,0.62,0.83,2e-07,0.9316239356994629
0.0006,0.75,0.52,6e-07,0.9252136945724487
0.0005,0.66,0.72,5e-07,0.9145299196243286
0.0005,0.59,0.74,5e-07,0.938034176826477
0.0008,0.66,0.95,4e-07,0.4615384638309479
0.0003,0.62,0.71,8e-07,0.9358974099159241
0.0001,0.98,0.84,6e-07,0.9081196784973145
0.0002,0.74,0.96,3e-07,0.9316239356994629
0.0009,0.56,0.98,7e-07,0.4594016969203949
0.0006,0.61,0.98,6e-07,0.8974359035491943
0.0005,0.53,0.68,7e-07,0.9145299196243286
0.0005,0.86,0.67,4e-07,0.9081196784973145
0.0006,0.69,0.83,7e-07,0.9252136945724487
0.0004,0.81,0.56,3e-07,0.9294871687889099
0.0007,0.94,0.59,3e-07,0.4594016969203949
0.0007,0.6,0.92,4e-07,0.4594016969203949
0.0004,0.54,0.57,9e-07,0.8995726704597473
0.0006,0.78,0.88,5e-07,0.8867521286010742
0.0003,0.95,0.92,2e-07,0.9252136945724487
0.0003,0.91,0.88,1e-07,0.9273504018783569
0.0002,0.52,0.58,8e-07,0.9273504018783569
0.0003,0.97,0.58,4e-07,0.4871794879436493
0.0002,0.74,0.58,1e-07,0.9358974099159241
0.0004,0.7,0.78,7e-07,0.94017094373703
0.0007,0.68,0.89,9e-07,0.9059829115867615
0.0006,0.62,0.7,3e-07,0.9209401607513428
0.0002,0.83,0.78,5e-07,0.9358974099159241
0.0001,0.91,0.72,7e-07,0.9487179517745972
0.0007,0.53,0.96,8e-07,0.6837607026100159
0.0009,0.94,0.76,4e-07,0.4594016969203949
0.0002,0.61,0.72,7e-07,0.9209401607513428
0.0009,0.57,0.88,8e-07,0.8803418874740601
0.0009,0.67,0.71,5e-07,0.942307710647583
0.0008,0.88,0.77,4e-07,0.8653846383094788
0.0006,0.59,0.65,4e-07,0.9081196784973145
0.0008,0.68,0.79,8e-07,0.8611111044883728
0.0008,0.61,0.9,6e-07,0.7735042572021484
0.0007,0.69,0.67,2e-07,0.9145299196243286
0.0008,0.74,0.6,7e-07,0.9294871687889099
0.0002,0.86,0.93,3e-07,0.9444444179534912
0.0003,0.73,0.51,2e-07,0.94017094373703
0.0001,0.97,0.99,3e-07,0.9508547186851501
0.0003,0.83,0.94,6e-07,0.9273504018783569
0.0001,0.95,0.58,4e-07,0.7264957427978516
0.0007,0.91,0.52,7e-07,0.5106837749481201
0.0007,0.53,0.93,6e-07,0.4594016969203949
0.0006,0.53,0.54,8e-07,0.9123931527137756
0.0008,0.65,0.9,2e-07,0.9059829115867615
0.0009,0.67,0.62,4e-07,0.9059829115867615
0.0002,0.78,0.66,5e-07,0.94017094373703
0.0008,0.63,0.61,5e-07,0.9038461446762085
0.0006,0.87,0.89,1e-07,0.9230769276618958
0.0007,0.75,0.81,7e-07,0.8803418874740601
0.0008,0.62,0.72,4e-07,0.94017094373703
0.0007,0.96,0.75,1e-07,0.4615384638309479
0.0004,0.85,0.84,7e-07,0.9273504018783569
0.0003,0.98,0.67,3e-07,0.5064102411270142
0.0008,0.63,0.68,2e-07,0.8952991366386414
0.0004,0.87,0.61,9e-07,0.8611111044883728
0.0005,0.96,0.61,8e-07,0.4594016969203949
0.0002,0.99,0.64,7e-07,0.5705128312110901
0.0008,0.64,0.56,2e-07,0.9273504018783569
0.0005,0.59,0.54,8e-07,0.9059829115867615
0.0006,0.6,0.51,8e-07,0.942307710647583
0.0004,0.9,0.9,6e-07,0.9358974099159241
0.0003,0.87,0.5,5e-07,0.4594016969203949
0.0004,0.84,0.78,6e-07,0.9252136945724487
0.0003,0.89,0.73,5e-07,0.9294871687889099
0.0002,0.82,0.84,8e-07,0.94017094373703
0.0004,0.88,0.86,1e-07,0.938034176826477
0.0004,0.85,0.52,2e-07,0.4615384638309479
0.0007,0.89,0.77,2e-07,0.9017093777656555
0.0003,0.63,0.98,5e-07,0.9059829115867615
0.0003,0.52,0.97,2e-07,0.8995726704597473
0.0006,0.87,0.86,4e-07,0.9123931527137756
0.0005,0.77,0.63,7e-07,0.9294871687889099
0.0006,0.54,0.56,2e-07,0.8931623697280884
0.0008,0.98,0.55,7e-07,0.4594016969203949
0.0006,0.77,0.61,6e-07,0.8739316463470459
0.0006,0.89,0.73,6e-07,0.882478654384613
0.0003,0.89,0.92,2e-07,0.9123931527137756
0.0004,0.9,0.77,4e-07,0.9358974099159241
0.0006,0.6,0.82,2e-07,0.9145299196243286
0.0002,0.87,0.92,7e-07,0.9294871687889099
0.0005,0.52,0.9,4e-07,0.8739316463470459
0.0008,0.95,0.89,3e-07,0.9102563858032227
0.0007,0.75,0.66,1e-07,0.9337607026100159
0.0004,0.8,0.53,5e-07,0.8782051205635071
0.0005,0.73,0.73,7e-07,0.8653846383094788
0.0003,0.98,0.95,3e-07,0.9188033938407898
0.0004,0.71,0.92,3e-07,0.8995726704597473
0.0008,0.57,0.95,3e-07,0.6153846383094788
0.0007,0.59,0.74,8e-07,0.8931623697280884
0.0008,0.81,0.65,8e-07,0.4594016969203949
0.0003,0.93,0.88,1e-07,0.9294871687889099
0.0007,0.91,0.83,4e-07,0.9145299196243286
0.0003,0.95,0.7,4e-07,0.49145299196243286
0.0006,0.83,0.76,7e-07,0.9252136945724487
0.0005,0.68,0.94,6e-07,0.9188033938407898
0.0005,0.97,0.67,8e-07,0.46581196784973145
0.0007,0.87,0.93,3e-07,0.9123931527137756
0.0008,0.96,0.66,2e-07,0.4594016969203949
0.0008,0.75,0.57,2e-07,0.8141025900840759
0.0005,0.97,0.85,6e-07,0.7585470080375671
0.0002,0.9,0.55,9e-07,0.8696581125259399
0.0008,0.8,0.72,9e-07,0.4594016969203949
0.0004,0.91,0.52,1e-07,0.4594016969203949
0.0005,0.72,0.63,5e-07,0.9081196784973145
0.0003,0.7,0.93,4e-07,0.94017094373703
0.0006,0.86,0.65,4e-07,0.4594016969203949
0.0005,0.94,0.82,2e-07,0.811965823173523
0.0007,0.81,0.8,2e-07,0.8931623697280884
0.0005,0.6,0.65,3e-07,0.9252136945724487
0.0006,0.51,0.73,7e-07,0.8760683536529541
0.0003,0.54,0.5,4e-07,0.9273504018783569
