learning_rate,warmup_epochs,mask_period,mem,lr_reg,lambda_reg,precision,layer,interpretability
0.0001,1,4,4,0.009,0.001,0.9837067209775967,4,0.5082876458195202
0.0001,1,4,1,0.009,0.004,0.9409368635437881,4,0.3113361668011146
0.0001,1,4,4,0.009,0.004,0.9837067209775967,4,0.49146678133119315
0.0001,1,4,1,0.009,0.009,0.9511201629327902,4,0.647282251766437
0.0001,1,4,4,0.009,0.009,0.9796334012219959,4,0.5432243490862894
0.0001,1,6,1,0.001,0.001,0.9796334012219959,4,0.8913570063148596
0.0001,1,6,6,0.001,0.001,0.9816700610997964,4,0.5936798721855756
0.0001,1,6,1,0.001,0.004,0.9837067209775967,3,0.7926731417763782
0.0001,1,6,6,0.001,0.004,0.9837067209775967,4,0.4935841538613605
0.0001,1,6,1,0.001,0.009,0.9775967413441955,4,0.8945156541039184
0.0001,1,6,6,0.001,0.009,0.9837067209775967,4,0.5363157705188883
0.0001,1,6,1,0.004,0.001,0.9653767820773931,3,0.9087021504912705
0.0001,1,6,6,0.004,0.001,0.9837067209775967,4,0.48960494909030383
0.0001,1,6,1,0.004,0.004,0.9572301425661914,2,0.27818460372114506
0.0001,1,6,6,0.004,0.004,0.9837067209775967,4,0.5327646149401397
0.0001,1,6,1,0.004,0.009,0.9735234215885947,3,0.6235823260937045
0.0001,1,6,6,0.004,0.009,0.9837067209775967,4,0.35674522950829773
0.0001,1,6,1,0.009,0.001,0.9327902240325866,4,0.31399700528027213
0.0001,1,6,6,0.009,0.001,0.9837067209775967,4,0.5794342537757031
0.0001,1,6,1,0.009,0.004,0.9653767820773931,3,0.42258319589394217
0.0001,1,6,6,0.009,0.004,0.9816700610997964,4,0.5757456697406631
0.0001,1,6,1,0.009,0.009,0.9348268839103869,4,0.26646493401949306
0.0001,1,6,6,0.009,0.009,0.9857433808553971,4,0.4987922111861787
0.0001,5,2,1,0.001,0.001,0.9857433808553971,4,0.27189649467856686
0.0001,5,2,2,0.001,0.001,0.9837067209775967,4,0.5287793698955878
0.0001,5,2,1,0.001,0.004,0.9857433808553971,4,0.26784488106465115
0.0001,5,2,2,0.001,0.004,0.9816700610997964,4,0.6000070413899178
0.0001,5,2,1,0.001,0.009,0.9837067209775967,4,0.2709149474944142
0.0001,5,2,2,0.001,0.009,0.9837067209775967,4,0.4680413183900097
0.0001,5,2,1,0.004,0.001,0.9857433808553971,4,0.25907595986240883
0.0001,5,2,2,0.004,0.001,0.9816700610997964,4,0.554733631710428
0.0001,5,2,1,0.004,0.004,0.9857433808553971,4,0.22665107736265486
0.0001,5,2,2,0.004,0.004,0.9837067209775967,4,0.5876320645884671
0.0001,5,2,1,0.004,0.009,0.9837067209775967,4,0.22959203076700624
0.0001,5,2,2,0.004,0.009,0.9816700610997964,4,0.5052888942163576
0.0001,5,2,1,0.009,0.001,0.9837067209775967,7,0.2653580358148838
0.0001,5,2,2,0.009,0.001,0.9857433808553971,4,0.5164211553923925
0.0001,5,2,1,0.009,0.004,0.9837067209775967,4,0.29602379747887847
0.0001,5,2,2,0.009,0.004,0.9857433808553971,4,0.6013625270808708
0.0001,5,2,1,0.009,0.009,0.9837067209775967,4,0.24958212573938046
0.0001,5,2,2,0.009,0.009,0.9837067209775967,4,0.46158230231151615
0.0001,5,4,1,0.001,0.001,0.9816700610997964,4,0.2564866798907429
0.0001,5,4,4,0.001,0.001,0.9857433808553971,4,0.42681207158362944
0.0001,5,4,1,0.001,0.004,0.9857433808553971,4,0.2441000040943674
0.0001,5,4,4,0.001,0.004,0.9877800407331976,4,0.47173788770521824
0.0001,5,4,1,0.001,0.009,0.9837067209775967,4,0.28105315991566027
0.0001,5,4,4,0.001,0.009,0.9857433808553971,4,0.28077341666754435
0.0001,5,4,1,0.004,0.001,0.9775967413441955,4,0.31903718279530224
0.0001,5,4,4,0.004,0.001,0.9816700610997964,4,0.5456053249488474
0.0001,5,4,1,0.004,0.004,0.9837067209775967,4,0.26672448816656896
0.0001,5,4,4,0.004,0.004,0.9837067209775967,4,0.4606677241821934
0.0001,5,4,1,0.004,0.009,0.9857433808553971,4,0.24042937493693547
0.0001,5,4,4,0.004,0.009,0.9837067209775967,4,0.46571000273572605
0.0001,5,4,1,0.009,0.001,0.9857433808553971,4,0.26966826799079446
0.0001,5,4,4,0.009,0.001,0.9837067209775967,4,0.47431377272123654
0.0001,5,4,1,0.009,0.004,0.9796334012219959,4,0.2919408931607436
0.0001,5,4,4,0.009,0.004,0.9837067209775967,4,0.5187983232791655
0.0001,5,4,1,0.009,0.009,0.9837067209775967,4,0.25101328503389103
0.0001,5,4,4,0.009,0.009,0.9857433808553971,4,0.5869673181280244
0.0001,5,6,1,0.001,0.001,0.9857433808553971,4,0.2927793378382578
0.0001,5,6,6,0.001,0.001,0.9837067209775967,4,0.4774951486337489
0.0001,5,6,1,0.001,0.004,0.9816700610997964,4,0.25852367010803307
0.0001,5,6,6,0.001,0.004,0.9837067209775967,4,0.5203789055294619
0.0001,5,6,1,0.001,0.009,0.9775967413441955,4,0.30564932234184633
0.0001,5,6,6,0.001,0.009,0.9857433808553971,4,0.43994163197734576
0.0001,5,6,1,0.004,0.001,0.9857433808553971,4,0.24822782586931516
0.0001,5,6,6,0.004,0.001,0.9857433808553971,4,0.4930675859211006
0.0001,5,6,1,0.004,0.004,0.9857433808553971,4,0.22522178952149421
0.0001,5,6,6,0.004,0.004,0.9837067209775967,4,0.41188057741862766
0.0001,5,6,1,0.004,0.009,0.9796334012219959,7,0.23987204701628367
0.0001,5,6,6,0.004,0.009,0.9837067209775967,4,0.59067437090749
0.0001,5,6,1,0.009,0.001,0.9816700610997964,7,0.27008107047956986
0.0001,5,6,6,0.009,0.001,0.9816700610997964,4,0.5934645828011417
0.0001,5,6,1,0.009,0.004,0.9857433808553971,4,0.25260822389915294
0.0001,5,6,6,0.009,0.004,0.9857433808553971,4,0.5299936314594248
0.0001,5,6,1,0.009,0.009,0.9857433808553971,4,0.292099867021515
0.0001,5,6,6,0.009,0.009,0.9857433808553971,4,0.4145643680026595
0.0001,9,2,1,0.001,0.001,0.9837067209775967,4,0.2668794924841295
0.0001,9,2,2,0.001,0.001,0.9857433808553971,4,0.3979262412973092
0.0001,9,2,1,0.001,0.004,0.9816700610997964,4,0.4876621754281192
0.0001,9,2,2,0.001,0.004,0.9837067209775967,4,0.47153996322434205
0.0001,9,2,1,0.001,0.009,0.9857433808553971,4,0.3884879811378013
0.0001,9,2,2,0.001,0.009,0.9857433808553971,4,0.5432901685908479
0.0001,9,2,1,0.004,0.001,0.9816700610997964,4,0.44347303035795804
0.0001,9,2,2,0.004,0.001,0.9837067209775967,4,0.35791739772075903
0.0001,9,2,1,0.004,0.004,0.9857433808553971,7,0.25114163319748534
0.0001,9,2,2,0.004,0.004,0.9837067209775967,4,0.458319987745201
0.0001,9,2,1,0.004,0.009,0.9837067209775967,4,0.47901725989905436
0.0001,9,2,2,0.004,0.009,0.9837067209775967,4,0.4857961546177574
0.0001,9,2,1,0.009,0.001,0.9816700610997964,4,0.3992385369192753
0.0001,9,2,2,0.009,0.001,0.9837067209775967,4,0.5088342955466267
0.0001,9,2,1,0.009,0.004,0.9837067209775967,4,0.27596486638236023
0.0001,9,2,2,0.009,0.004,0.9837067209775967,4,0.5089788359045416
0.0001,9,2,1,0.009,0.009,0.9816700610997964,4,0.46377671540566556
0.0001,9,2,2,0.009,0.009,0.9857433808553971,4,0.5415760685945364
0.0001,9,4,1,0.001,0.001,0.9816700610997964,4,0.43251100337143134
0.0001,9,4,4,0.001,0.001,0.9837067209775967,4,0.5498798478451373
0.0001,9,4,1,0.001,0.004,0.9816700610997964,4,0.4101805144834347
0.0001,9,4,4,0.001,0.004,0.9837067209775967,4,0.5849429986639281
0.0001,9,4,1,0.001,0.009,0.9816700610997964,4,0.3670095972611123
0.0001,9,4,4,0.001,0.009,0.9837067209775967,4,0.57015629336081
0.0001,9,4,1,0.004,0.001,0.9837067209775967,4,0.45947262662842336
0.0001,9,4,4,0.004,0.001,0.9857433808553971,4,0.5537124312682229
0.0001,9,4,1,0.004,0.004,0.9796334012219959,4,0.5181861891843141
0.0001,9,4,4,0.004,0.004,0.9857433808553971,4,0.41015710785538084
0.0001,9,4,1,0.004,0.009,0.9837067209775967,4,0.5036344376283631
0.0001,9,4,4,0.004,0.009,0.9857433808553971,4,0.3945748239086334
0.0001,9,4,1,0.009,0.001,0.9857433808553971,4,0.30306505962733493
0.0001,9,4,4,0.009,0.001,0.9857433808553971,4,0.4889431910504012
0.0001,9,4,1,0.009,0.004,0.9837067209775967,4,0.2683251157407844
0.0001,9,4,4,0.009,0.004,0.9816700610997964,4,0.5454148897134034
0.0001,9,4,1,0.009,0.009,0.9837067209775967,7,0.24935274222318873
0.0001,9,4,4,0.009,0.009,0.9857433808553971,4,0.4642243198228002
0.0001,9,6,1,0.001,0.001,0.9816700610997964,4,0.24164811507312242
0.0001,9,6,6,0.001,0.001,0.9837067209775967,4,0.6172591160932672
0.0001,9,6,1,0.001,0.004,0.9877800407331976,4,0.3446123724562972
0.0001,9,6,6,0.001,0.004,0.9857433808553971,4,0.5504648748249651
0.0001,9,6,1,0.001,0.009,0.9837067209775967,4,0.34912468528859036
0.0001,9,6,6,0.001,0.009,0.9837067209775967,4,0.5493594399888314
0.0001,9,6,1,0.004,0.001,0.9816700610997964,4,0.5086509617545222
0.0001,9,6,6,0.004,0.001,0.9857433808553971,4,0.25437865026310597
0.0001,9,6,1,0.004,0.004,0.9796334012219959,4,0.4169242102022845
0.0001,9,6,6,0.004,0.004,0.9837067209775967,4,0.5151228932271156
0.0001,9,6,1,0.004,0.009,0.9837067209775967,4,0.5478285338261214
0.0001,9,6,6,0.004,0.009,0.9816700610997964,4,0.35676611732277563
0.0001,9,6,1,0.009,0.001,0.9796334012219959,4,0.4817184602364312
0.0001,9,6,6,0.009,0.001,0.9857433808553971,4,0.5205224378710297
0.0001,9,6,1,0.009,0.004,0.9837067209775967,4,0.441428285435096
0.0001,9,6,6,0.009,0.004,0.9857433808553971,4,0.6308800530690807
0.0001,9,6,1,0.009,0.009,0.9837067209775967,4,0.2515005118949774
0.0001,9,6,6,0.009,0.009,0.9857433808553971,4,0.5386069290591673
0.0003,1,2,1,0.001,0.001,0.9735234215885947,4,0.28389555424982593
0.0003,1,2,2,0.001,0.001,0.9837067209775967,5,0.746125634074594
0.0003,1,2,1,0.001,0.004,0.9816700610997964,4,0.268605026354104
0.0003,1,2,2,0.001,0.004,0.9898167006109979,4,0.43040102216657466
0.0003,1,2,1,0.001,0.009,0.9653767820773931,0,0.06305465725439469
0.0003,1,2,2,0.001,0.009,0.9857433808553971,4,0.5306307261768793
0.0003,1,2,1,0.004,0.001,0.9755600814663951,0,0.09419552557232758
0.0003,1,2,2,0.004,0.001,0.9857433808553971,4,0.5985398297555374
0.0003,1,2,1,0.004,0.004,0.9653767820773931,0,0.10253517845864717
0.0003,1,2,2,0.004,0.004,0.9857433808553971,4,0.7310275993921741
0.0003,1,2,1,0.004,0.009,0.9735234215885947,2,0.2547709957281034
0.0003,1,2,2,0.004,0.009,0.9857433808553971,4,0.7129910114099828
0.0003,1,2,1,0.009,0.001,0.9511201629327902,5,0.486273617834023
0.0003,1,2,2,0.009,0.001,0.9857433808553971,4,0.5961404389252357
0.0003,1,2,1,0.009,0.004,0.9429735234215886,4,0.4900426838580782
0.0003,1,2,2,0.009,0.004,0.9857433808553971,4,0.5581812865027327
0.0003,1,2,1,0.009,0.009,0.9653767820773931,3,0.6262852555813171
0.0003,1,2,2,0.009,0.009,0.9857433808553971,4,0.5367499506258525
0.0003,1,4,1,0.001,0.001,0.9735234215885947,1,0.12258045617971229
0.0003,1,4,4,0.001,0.001,0.9837067209775967,4,0.6954002162256666
0.0003,1,4,1,0.001,0.004,0.9755600814663951,4,0.921457417272636
0.0003,1,4,4,0.001,0.004,0.9816700610997964,4,0.76219487190466
0.0003,1,4,1,0.001,0.009,0.9613034623217923,3,0.7511285931001411
0.0003,1,4,4,0.001,0.009,0.9857433808553971,5,0.8531919267184362
0.0003,1,4,1,0.004,0.001,0.9735234215885947,1,0.13290596960772802
0.0003,1,4,4,0.004,0.001,0.9918533604887984,5,0.8540022802690544
0.0003,1,4,1,0.004,0.004,0.9511201629327902,3,0.9545571781944227
0.0003,1,4,4,0.004,0.004,0.9877800407331976,4,0.6269188920845762
0.0003,1,4,1,0.004,0.009,0.9674134419551935,4,0.6136002449574812
0.0003,1,4,4,0.004,0.009,0.9877800407331976,4,0.547751984780101
0.0003,1,4,1,0.009,0.001,0.9674134419551935,2,0.24056375176888234
0.0003,1,4,4,0.009,0.001,0.9816700610997964,4,0.6459560548743949
0.0003,1,4,1,0.009,0.004,0.9633401221995926,7,0.46759202206738365
0.0003,1,4,4,0.009,0.004,0.9857433808553971,4,0.5688499309172991
0.0003,1,4,1,0.009,0.009,0.9572301425661914,4,0.4795648176713807
0.0003,1,4,4,0.009,0.009,0.9857433808553971,5,0.8134262601769217
0.0003,1,6,1,0.001,0.001,0.9775967413441955,4,0.5617191230252291
0.0003,1,6,6,0.001,0.001,0.9877800407331976,5,0.8012675060177413
0.0003,1,6,1,0.001,0.004,0.9735234215885947,3,0.9374915288776453
0.0003,1,6,6,0.001,0.004,0.9857433808553971,5,0.755282420182752
0.0003,1,6,1,0.001,0.009,0.9755600814663951,4,0.8738616524216649
0.0003,1,6,6,0.001,0.009,0.9837067209775967,4,0.6615932550826576
0.0003,1,6,1,0.004,0.001,0.9694501018329938,3,0.8183530807528724
0.0003,1,6,6,0.004,0.001,0.9857433808553971,4,0.6155785520259744
0.0003,1,6,1,0.004,0.004,0.9633401221995926,5,0.6138796717452661
0.0003,1,6,6,0.004,0.004,0.9857433808553971,4,0.6249585380893614
0.0003,1,6,1,0.004,0.009,0.9653767820773931,0,0.08313864201926163
0.0003,1,6,6,0.004,0.009,0.9837067209775967,4,0.4895277377194975
0.0003,1,6,1,0.009,0.001,0.9633401221995926,3,0.5728610290050778
0.0003,1,6,6,0.009,0.001,0.9877800407331976,4,0.7017655265795638
0.0003,1,6,1,0.009,0.004,0.9470468431771895,4,0.4891986406197486
0.0003,1,6,6,0.009,0.004,0.9837067209775967,5,0.8062850283904699
0.0003,1,6,1,0.009,0.009,0.9409368635437881,5,0.5132332830154657
0.0003,1,6,6,0.009,0.009,0.9877800407331976,4,0.4827504635040595
0.0003,5,2,1,0.001,0.001,0.9837067209775967,5,0.8103481170736409
0.0003,5,2,2,0.001,0.001,0.9857433808553971,5,0.7602282795680755
0.0003,5,2,1,0.001,0.004,0.9796334012219959,5,0.6546858786094022
