learning_rate,warmup_epochs,mask_period,mem,lr_reg,lambda_reg,precision,layer,interpretability
0.0009,1,4,4,0.009,0.004,1.0,4,0.26503419149602325
0.0009,1,4,1,0.009,0.009,0.8574338085539714,3,0.6009583384417644
0.0009,1,4,4,0.009,0.009,0.9775967413441955,4,0.7420330195404922
0.0009,1,6,1,0.001,0.001,0.9816700610997964,4,0.8586223040168192
0.0009,1,6,6,0.001,0.001,1.0,3,0.13311612922954003
0.0009,1,6,1,0.001,0.004,0.9816700610997964,4,0.44111291567327865
0.0009,1,6,6,0.001,0.004,0.9755600814663951,3,0.8339880855809435
0.0009,1,6,1,0.001,0.009,0.9796334012219959,4,0.8730955065630889
0.0009,1,6,6,0.001,0.009,0.9796334012219959,3,0.7188831973392512
0.0009,1,6,1,0.004,0.001,0.9653767820773931,2,0.155122534247864
0.0009,1,6,1,0.004,0.004,0.9755600814663951,4,0.8059717881765412
0.0009,1,6,6,0.004,0.004,0.9775967413441955,4,0.7954440117417965
0.0009,1,6,1,0.004,0.009,0.9755600814663951,4,0.3347608264855138
0.0009,1,6,6,0.004,0.009,0.9755600814663951,4,0.8098020414638271
0.0009,1,6,1,0.009,0.001,1.0,3,0.1659999179209341
0.0009,1,6,6,0.009,0.001,0.9775967413441955,3,0.7843843094494212
0.0009,1,6,1,0.009,0.004,0.955193482688391,7,0.31000757758582814
0.0009,1,6,6,0.009,0.004,0.9775967413441955,3,0.8353353456867398
0.0009,1,6,1,0.009,0.009,0.9531568228105907,6,0.44005880827092436
0.0009,1,6,6,0.009,0.009,0.9837067209775967,4,0.8442776889716793
0.0009,5,2,1,0.001,0.001,0.9714867617107943,3,0.8255125292269355
0.0009,5,2,2,0.001,0.001,0.9775967413441955,3,0.8619807230084144
0.0009,5,2,1,0.001,0.004,0.9877800407331976,1,0.1190412740117527
0.0009,5,2,2,0.001,0.004,0.9796334012219959,4,0.403572934269132
0.0009,5,2,1,0.001,0.009,0.9775967413441955,4,0.7096571100607179
0.0009,5,2,2,0.001,0.009,0.9775967413441955,5,0.7578629727512817
0.0009,5,2,1,0.004,0.001,0.9796334012219959,2,0.2262508584654259
0.0009,5,2,2,0.004,0.001,0.9816700610997964,3,0.862028308003652
0.0009,5,2,1,0.004,0.004,0.9714867617107943,4,0.5692733052542556
0.0009,5,2,2,0.004,0.004,0.9735234215885947,5,0.6631334141917169
0.0009,5,2,1,0.004,0.009,0.9755600814663951,4,0.312377965450182
0.0009,5,2,2,0.004,0.009,0.9796334012219959,4,0.7242872422291055
0.0009,5,2,1,0.009,0.001,0.9653767820773931,3,0.8302111883924815
0.0009,5,2,2,0.009,0.001,0.9755600814663951,4,0.9016706132948437
0.0009,5,2,1,0.009,0.004,0.9775967413441955,3,0.8680386269869671
0.0009,5,2,2,0.009,0.004,0.9796334012219959,4,0.2831613658447173
0.0009,5,2,1,0.009,0.009,0.9674134419551935,3,0.8262187379375489
0.0009,5,2,2,0.009,0.009,0.9816700610997964,4,0.5936324290338825
0.0009,5,4,1,0.001,0.001,0.9796334012219959,4,0.8457073826965835
0.0009,5,4,4,0.001,0.001,0.9775967413441955,4,0.7958392144221389
0.0009,5,4,1,0.001,0.004,0.9755600814663951,4,0.79788036877177
0.0009,5,4,4,0.001,0.004,0.9755600814663951,3,0.6527132074661001
0.0009,5,4,1,0.001,0.009,0.9755600814663951,3,0.8601947840107603
0.0009,5,4,4,0.001,0.009,0.9796334012219959,4,0.8363149446322249
0.0009,5,4,1,0.004,0.001,0.9796334012219959,5,0.7770272159122199
0.0009,5,4,4,0.004,0.001,0.9755600814663951,1,0.10793860500717482
0.0009,5,4,1,0.004,0.004,0.9735234215885947,2,0.1987487166783033
0.0009,5,4,4,0.004,0.004,0.9775967413441955,5,0.5391525019490516
0.0009,5,4,1,0.004,0.009,0.9755600814663951,3,0.8191551850264058
0.0009,5,4,4,0.004,0.009,0.9755600814663951,4,0.8155320956707393
0.0009,5,4,1,0.009,0.001,0.9775967413441955,3,0.9189798300339355
0.0009,5,4,4,0.009,0.001,0.9775967413441955,4,0.17820477790008613
0.0009,5,4,1,0.009,0.004,0.9714867617107943,4,0.7924934024592329
0.0009,5,4,4,0.009,0.004,0.9755600814663951,2,0.240267369316148
0.0009,5,4,1,0.009,0.009,0.9755600814663951,4,0.7873146563349689
0.0009,5,4,4,0.009,0.009,0.9796334012219959,4,0.32537730502777784
0.0009,5,6,1,0.001,0.001,0.9816700610997964,4,0.8225233837030859
0.0009,5,6,6,0.001,0.001,0.9735234215885947,4,0.8776870334279497
0.0009,5,6,1,0.001,0.004,0.9775967413441955,4,0.885466819979495
0.0009,5,6,6,0.001,0.004,0.9755600814663951,5,0.44726932899920946
0.0009,5,6,1,0.001,0.009,1.0,1,0.10559289013844338
0.0009,5,6,6,0.001,0.009,0.9816700610997964,4,0.8015374434480841
0.0009,5,6,1,0.004,0.001,0.9592668024439919,3,0.8801004880672504
0.0009,5,6,6,0.004,0.001,0.9816700610997964,5,0.36109890952854307
